# Every instruction every opcode in text.rs is written as, filled in with x1 to x4, the constant 1
# and [x9, #16], then assembled by GNU as 2.42 (aarch64-linux-gnu-as) and read back with objdump -d.
# Columns: the word GNU as wrote, the line it was given, the opcode.
1e636841	fmaxnm d1, d2, d3	fmaxnm_f64
1e214041	fneg s1, s2	fneg_f32
1e614041	fneg d1, d2	fneg_f64
1e20c041	fabs s1, s2	fabs_f32
1e60c041	fabs d1, d2	fabs_f64
1e21c041	fsqrt s1, s2	fsqrt_f32
1e61c041	fsqrt d1, d2	fsqrt_f64
1e25c041	frintz s1, s2	frintz_f32
1e65c041	frintz d1, d2	frintz_f64
1e254041	frintm s1, s2	frintm_f32
1e654041	frintm d1, d2	frintm_f64
1e24c041	frintp s1, s2	frintp_f32
1e64c041	frintp d1, d2	frintp_f64
1e264041	frinta s1, s2	frinta_f32
1e664041	frinta d1, d2	frinta_f64
1e244041	frintn s1, s2	frintn_f32
1e644041	frintn d1, d2	frintn_f64
1e274041	frintx s1, s2	frintx_f32
1e674041	frintx d1, d2	frintx_f64
1e27c041	frinti s1, s2	frinti_f32
1e67c041	frinti d1, d2	frinti_f64
1e204041	fmov s1, s2	fmov_rr_f32
1e604041	fmov d1, d2	fmov_rr_f64
4ea21c41	mov v1.16b, v2.16b	mov_rr_f128
1e624041	fcvt s1, d2	fcvt_f64_f32
1e22c041	fcvt d1, s2	fcvt_f32_f64
1e220041	scvtf s1, w2	scvtf_32_f32
1e620041	scvtf d1, w2	scvtf_32_f64
9e220041	scvtf s1, x2	scvtf_64_f32
9e620041	scvtf d1, x2	scvtf_64_f64
1e230041	ucvtf s1, w2	ucvtf_32_f32
1e630041	ucvtf d1, w2	ucvtf_32_f64
9e230041	ucvtf s1, x2	ucvtf_64_f32
9e630041	ucvtf d1, x2	ucvtf_64_f64
1e380041	fcvtzs w1, s2	fcvtzs_f32_32
9e380041	fcvtzs x1, s2	fcvtzs_f32_64
1e780041	fcvtzs w1, d2	fcvtzs_f64_32
9e780041	fcvtzs x1, d2	fcvtzs_f64_64
1e390041	fcvtzu w1, s2	fcvtzu_f32_32
9e390041	fcvtzu x1, s2	fcvtzu_f32_64
1e790041	fcvtzu w1, d2	fcvtzu_f64_32
9e790041	fcvtzu x1, d2	fcvtzu_f64_64
1e270041	fmov s1, w2	fmov_to_f32
9e670041	fmov d1, x2	fmov_to_f64
1e260041	fmov w1, s2	fmov_from_f32
9e660041	fmov x1, d2	fmov_from_f64
1e222020	fcmp s1, s2	fcmp_f32
1e622020	fcmp d1, d2	fcmp_f64
1e232040	fcmp s2, s3	fcmp_set_eq_f32
1a9f17e1	cset w1, eq	fcmp_set_eq_f32
1e632040	fcmp d2, d3	fcmp_set_eq_f64
1a9f17e1	cset w1, eq	fcmp_set_eq_f64
1e232040	fcmp s2, s3	fcmp_set_ne_f32
1a9f07e1	cset w1, ne	fcmp_set_ne_f32
1e632040	fcmp d2, d3	fcmp_set_ne_f64
1a9f07e1	cset w1, ne	fcmp_set_ne_f64
1e232040	fcmp s2, s3	fcmp_set_lt_f32
1a9f57e1	cset w1, mi	fcmp_set_lt_f32
1e632040	fcmp d2, d3	fcmp_set_lt_f64
1a9f57e1	cset w1, mi	fcmp_set_lt_f64
1e232040	fcmp s2, s3	fcmp_set_le_f32
1a9f87e1	cset w1, ls	fcmp_set_le_f32
1e632040	fcmp d2, d3	fcmp_set_le_f64
1a9f87e1	cset w1, ls	fcmp_set_le_f64
1e232040	fcmp s2, s3	fcmp_set_gt_f32
1a9fd7e1	cset w1, gt	fcmp_set_gt_f32
1e632040	fcmp d2, d3	fcmp_set_gt_f64
1a9fd7e1	cset w1, gt	fcmp_set_gt_f64
1e232040	fcmp s2, s3	fcmp_set_ge_f32
1a9fb7e1	cset w1, ge	fcmp_set_ge_f32
1e632040	fcmp d2, d3	fcmp_set_ge_f64
1a9fb7e1	cset w1, ge	fcmp_set_ge_f64
1e232040	fcmp s2, s3	fcmp_set_ult_f32
1a9fa7e1	cset w1, lt	fcmp_set_ult_f32
1e632040	fcmp d2, d3	fcmp_set_ult_f64
1a9fa7e1	cset w1, lt	fcmp_set_ult_f64
1e232040	fcmp s2, s3	fcmp_set_ule_f32
1a9fc7e1	cset w1, le	fcmp_set_ule_f32
1e632040	fcmp d2, d3	fcmp_set_ule_f64
1a9fc7e1	cset w1, le	fcmp_set_ule_f64
1e232040	fcmp s2, s3	fcmp_set_ugt_f32
1a9f97e1	cset w1, hi	fcmp_set_ugt_f32
1e632040	fcmp d2, d3	fcmp_set_ugt_f64
1a9f97e1	cset w1, hi	fcmp_set_ugt_f64
1e232040	fcmp s2, s3	fcmp_set_uge_f32
